id,area,confirmed,confirmedRelative,crued,curConfirm,curConfirmRelative,curedPercent,curedRelative,died,diedPercent,diedRelative,icuDisable
201,英国,18804765,38481,17153253,1490288,-37952,91.2%,76308,161224,0.9%,125,1
202,意大利,12693320,47493,11363190,1175924,-22195,89.5%,69439,154206,1.2%,249,1
203,印度,42905844,13166,42270482,121850,-14126,98.5%,26988,513512,1.2%,304,1
204,菲律宾,3660020,1550,3549735,53934,61,97.0%,1430,56351,1.5%,59,1
205,芬兰,637729,71,46000,589365,71,7.2%,0,2364,0.4%,0,1
206,斯里兰卡,643072,1208,608226,18704,849,94.6%,329,16142,2.5%,30,1
207,柬埔寨,129548,479,122877,3639,-25,94.9%,503,3032,2.3%,1,1
208,尼泊尔,976670,158,955458,9280,-398,97.8%,555,11932,1.2%,1,1
209,加拿大,3277094,8097,3127071,113549,-2689,95.4%,10662,36474,1.1%,124,1
210,德国,14504151,256559,10758500,3622521,62769,74.2%,193500,123130,0.8%,290,1
211,越南,3120301,78795,2355619,724720,62882,75.5%,15835,39962,1.3%,78,1
212,法国,22593109,66732,20464974,1990177,-174317,90.6%,240768,137958,0.6%,281,1
213,美国,80532307,74176,52866250,26693857,-138004,65.6%,209108,972200,1.2%,3072,1
214,澳大利亚,3173512,25271,2940991,227390,-241,92.7%,25481,5131,0.2%,31,1
215,马来西亚,3367871,32070,3040850,294430,8692,90.3%,23332,32591,1.0%,46,1
216,日本,4826137,65640,3946025,857041,-25109,81.8%,90472,23071,0.5%,277,1
217,新加坡,679795,18593,612010,66799,4596,90.0%,13985,986,0.1%,12,1
218,泰国,2844897,24932,2621004,201041,9117,92.1%,15774,22852,0.8%,41,1
